DS_Name, Operacion, TamanoDatos, Tiempo_Ejecucion_ns
DoublyLLWithTail,Erase,500000,1157715
DoublyLLWithTail,PopFront,500000,2309
DoublyLLWithTail,PopBack,500000,644
Queue,Enqueue,500000,10950
Queue,Dequeue,500000,12251
Queue,Delete,500000,726318
Queue,Front,500000,8132
Queue,Size,500000,4672
Queue,isEmpty,500000,3333
Stack,Push,500000,14334
Stack,Pop,500000,19593
Stack,Delete,500000,358691
Stack,Peek,500000,7142
Stack,Size,500000,5059
Stack,isEmpty,500000,4459
SingleLLNoTail,PushFront,750000,3648
SingleLLNoTail,PushBack,750000,3185754
SingleLLNoTail,isEmpty,750000,2582
SingleLLNoTail,AddAfter,750000,1303107
SingleLLNoTail,AddBefore,750000,1366650
SingleLLNoTail,Find,750000,1335822
SingleLLNoTail,Erase,750000,1356746
SingleLLNoTail,PopFront,750000,3695
SingleLLNoTail,PopBack,750000,2448655
SingleLLWithTail,PushFront,750000,2862
SingleLLWithTail,PushBack,750000,3361
SingleLLWithTail,isEmpty,750000,1622
SingleLLWithTail,AddAfter,750000,1530444
SingleLLWithTail,AddBefore,750000,1341239
SingleLLWithTail,Find,750000,1214716
SingleLLWithTail,Erase,750000,1328301
SingleLLWithTail,PopFront,750000,1909
SingleLLWithTail,PopBack,750000,2562805
DoublyLLNoTail,PushFront,750000,2344
DoublyLLNoTail,PushBack,750000,3212129
DoublyLLNoTail,isEmpty,750000,2423
DoublyLLNoTail,AddAfter,750000,1594142
DoublyLLNoTail,AddBefore,750000,1485553
DoublyLLNoTail,Find,750000,1488346
DoublyLLNoTail,Erase,750000,1518055
DoublyLLNoTail,PopFront,750000,3911
DoublyLLNoTail,PopBack,750000,2838951
DoublyLLWithTail,PushFront,750000,2585
DoublyLLWithTail,PushBack,750000,4697
DoublyLLWithTail,isEmpty,750000,1462
DoublyLLWithTail,AddAfter,750000,1630649
DoublyLLWithTail,AddBefore,750000,1562723
DoublyLLWithTail,Find,750000,1643460
DoublyLLWithTail,Erase,750000,1594781
DoublyLLWithTail,PopFront,750000,2272
DoublyLLWithTail,PopBack,750000,456
Queue,Enqueue,750000,11951
Queue,Dequeue,750000,15986
Queue,Delete,750000,1119071
Queue,Front,750000,6382
Queue,Size,750000,3413
Queue,isEmpty,750000,2617
Stack,Push,750000,12646
